episode,reward,steps,outcome,timestamp
2405,-3.6,13,fell,20:26:08
2406,11.7991,13,landed,20:26:14
2407,-3.6336,11,fell,20:26:30
2408,11.8934,8,landed,20:26:35
2409,-3.6,13,fell,20:26:52
2410,11.5686,13,landed,20:26:58
2411,-3.658,11,fell,20:27:05
2412,-4.4336,21,fell,20:27:13
2413,-3.6106,11,fell,20:27:18
2414,-3.4675,11,fell,20:27:24
2415,-3.5249,10,fell,20:27:30
2416,-3.6,13,fell,20:27:36
2417,-3.6,13,fell,20:27:42
2418,-3.7,14,fell,20:27:48
2419,-3.5433,11,fell,20:27:54
2420,11.6466,14,landed,20:28:00
2421,-3.6,13,fell,20:28:16
2422,11.7102,13,landed,20:28:22
2423,11.6756,12,landed,20:28:38
2424,-3.6,13,fell,20:28:55
2425,-3.4431,11,fell,20:29:00
2426,11.765,12,landed,20:29:06
2427,-3.6455,11,fell,20:29:22
2428,11.5715,13,landed,20:29:28
2429,11.6063,14,landed,20:29:44
2430,-3.7,14,fell,20:29:52
2431,-3.971,20,fell,20:29:59
2432,-3.7,14,fell,20:30:05
2433,-3.6,13,fell,20:30:11
2434,-3.5,12,fell,20:30:17
2435,11.5057,13,landed,20:30:23
2436,-3.5,12,fell,20:30:39
2437,-3.6,13,fell,20:30:45
2438,-4.1307,17,fell,20:30:53
2439,11.6306,13,landed,20:30:59
2440,-3.7512,13,fell,20:31:15
2441,-3.5799,11,fell,20:31:21
2442,-3.5502,11,fell,20:31:27
2443,-3.6,13,fell,20:31:33
2444,11.6545,14,landed,20:31:39
2445,-3.4746,11,fell,20:31:55
2446,-3.7434,13,fell,20:32:01
2447,11.7724,13,landed,20:32:07
2448,-3.4,11,fell,20:32:23
2449,-3.6212,11,fell,20:32:29
2450,-3.6989,11,fell,20:32:34
2451,11.4996,13,landed,20:32:41
2452,11.5756,14,landed,20:32:57
2453,-3.6277,12,fell,20:33:13
2454,-3.4728,11,fell,20:33:19
2455,-3.8852,14,fell,20:33:25
2456,-3.6234,13,fell,20:33:31
2457,-3.8714,14,fell,20:33:37
2458,10.9426,21,landed,20:33:45
2459,-3.458,11,fell,20:33:59
2460,-3.7,14,fell,20:34:05
2461,-3.6,13,fell,20:34:11
2462,-3.5433,11,fell,20:34:17
2463,-3.5,12,fell,20:34:23
2464,-3.5,12,fell,20:34:29
2465,-3.6689,11,fell,20:34:35
2466,-3.8,15,fell,20:34:41
2467,-3.5,12,fell,20:34:47
2468,-3.8591,13,fell,20:34:53
2469,-3.6,13,fell,20:34:59
2470,-3.5,12,fell,20:35:05
2471,-3.6,13,fell,20:35:11
2472,-3.8013,13,fell,20:35:17
2473,11.6897,13,landed,20:35:23
2474,-3.5071,12,fell,20:35:39
2475,11.5637,12,landed,20:35:45
2476,-3.6,13,fell,20:36:01
2477,-3.6,13,fell,20:36:07
2478,-3.4,11,fell,20:36:14
2479,11.862,12,landed,20:36:20
2480,-4.1,18,fell,20:36:37
2481,11.5243,13,landed,20:36:43
2482,-3.6,13,fell,20:36:59
2483,-3.7052,12,fell,20:37:05
2484,11.4997,13,landed,20:37:11
2485,-3.5,12,fell,20:37:27
2486,11.8518,12,landed,20:37:33
2487,-3.6093,11,fell,20:37:49
2488,11.7596,13,landed,20:37:55
2489,-3.4,11,fell,20:38:10
2490,-3.6794,11,fell,20:38:16
2491,-3.5659,10,fell,20:38:22
2492,-3.5127,11,fell,20:38:27
2493,-3.6217,11,fell,20:38:33
2494,-3.5056,12,fell,20:38:39
2495,-3.5857,12,fell,20:38:45
2496,-3.6,13,fell,20:38:51
2497,-3.6,13,fell,20:38:57
2498,12.1153,9,landed,20:39:02
2499,11.609,12,landed,20:39:19
2500,-3.5,12,fell,20:39:35
2501,11.6515,14,landed,20:39:41
2502,12.1153,9,landed,20:39:57
2503,-3.6,13,fell,20:40:13
2504,12.1731,9,landed,20:40:19
2505,-3.6543,12,fell,20:40:35
2506,11.6952,13,landed,20:40:42
2507,-3.7313,12,fell,20:40:57
2508,-3.5,12,fell,20:41:03
2509,-4.3401,11,fell,20:41:09
2510,-3.6,13,fell,20:41:15
2511,-3.6,13,fell,20:41:22
2512,-3.6222,12,fell,20:41:27
2513,-3.6,13,fell,20:41:34
2514,11.6782,14,landed,20:41:40
2515,-3.5,12,fell,20:41:56
2516,-4.8553,23,fell,20:42:03
2517,-3.4821,10,fell,20:42:09
2518,-3.6,13,fell,20:42:15
2519,-3.6321,12,fell,20:42:22
2520,-3.6,13,fell,20:42:28
2521,11.1887,19,landed,20:42:35
2522,11.5374,13,landed,20:42:50
2523,-3.5624,11,fell,20:43:06
2524,-3.4,11,fell,20:43:11
2525,11.6394,13,landed,20:43:18
2526,-3.6,13,fell,20:43:34
2527,-3.6,13,fell,20:43:40
2528,-3.6,13,fell,20:43:46
2529,-3.2,9,fell,20:43:51
2530,10.9593,21,landed,20:43:59
2531,-3.7408,11,fell,20:44:13
2532,-3.5685,12,fell,20:44:19
2533,-3.5595,12,fell,20:44:25
2534,-3.6338,13,fell,20:44:31
2535,-3.7505,12,fell,20:44:37
2536,-3.5569,12,fell,20:44:44
2537,-3.6479,11,fell,20:44:49
2538,11.67,14,landed,20:44:56
2539,-3.6,13,fell,20:45:12
2540,11.7527,13,landed,20:45:18
2541,-3.5939,11,fell,20:45:34
2542,-3.6,13,fell,20:45:40
2543,-3.8622,11,fell,20:45:45
2544,-3.5,12,fell,20:45:51
2545,-3.7,14,fell,20:45:58
2546,-3.6907,12,fell,20:46:03
2547,-3.5448,11,fell,20:46:09
2548,-3.6,13,fell,20:46:15
2549,11.4902,13,landed,20:46:22
2550,-3.5623,12,fell,20:46:38
2551,11.7442,13,landed,20:46:44
2552,-3.7,14,fell,20:47:00
2553,11.6829,13,landed,20:47:06
2554,-3.7527,13,fell,20:47:22
2555,11.4805,16,landed,20:47:29
2556,11.6665,13,landed,20:47:36
2557,-3.6,13,fell,20:47:52
2558,11.7976,13,landed,20:47:58
2559,11.7719,12,landed,20:48:14
2560,11.6558,13,landed,20:48:30
2561,-3.6938,11,fell,20:48:46
2562,11.6975,12,landed,20:48:52
2563,-3.9036,13,fell,20:49:08
2564,11.7588,13,landed,20:49:14
2565,-3.4931,11,fell,20:49:30
2566,-3.533,11,fell,20:49:36
2567,11.6539,13,landed,20:49:42
2568,-3.7358,13,fell,20:49:58
2569,-3.6,13,fell,20:50:04
2570,11.6574,13,landed,20:50:10
2571,11.6968,13,landed,20:50:26
2572,-3.4,11,fell,20:50:42
2573,-3.5,12,fell,20:50:48
2574,-3.4928,10,fell,20:50:54
