# env: bridging
# spawn: 0.5,46.0,1.5
# goal: 0.5,46.0,7.5
episode,step,x,y,z,yaw,pitch,on_ground,action,reward,done,outcome,env
3,5,0.5,46.0,1.5,31.5,70.0,0,turn_right,0.0,0,alive,bridging
3,6,0.5,46.0,1.5,31.5,70.0,0,move_backward,0.0,0,alive,bridging
3,7,0.5242,46.0,1.4605,31.5,70.0,0,turn_right,0.0,0,alive,bridging
3,8,0.5688,46.0,1.3877,31.5,70.0,0,sneak_down,0.0,0,alive,bridging
3,9,0.5688,46.0,1.3877,40.5,70.0,0,turn_right,0.0,0,alive,bridging
3,10,0.5688,46.0,1.3877,61.38,70.0,0,look_up,0.0,0,alive,bridging
3,11,0.5688,46.0,1.3877,61.38,70.0,0,turn_right,0.0,0,alive,bridging
3,12,0.5688,46.0,1.3877,61.38,70.0,0,look_up,0.0,0,alive,bridging
3,13,0.5688,46.0,1.3877,61.38,70.0,0,look_up,0.0,0,alive,bridging
3,14,0.5688,46.0,1.3877,61.38,70.0,0,sneak_down,0.0,0,alive,bridging
3,15,0.5759,46.0,1.3679,61.38,70.0,0,move_forward,0.0,0,alive,bridging
3,16,0.5104,46.0,1.4037,61.38,79.0,0,look_down,-0.02,0,alive,bridging
3,17,0.4646,46.0,1.4286,61.38,90.0,0,turn_right,-0.02,0,alive,bridging
3,18,0.4646,46.0,1.4286,71.82,90.0,0,turn_right,-0.02,0,alive,bridging
3,19,0.4646,46.0,1.4286,91.26,90.0,0,move_forward,-0.02,0,alive,bridging
3,20,0.3672,46.0,1.4379,91.26,90.0,0,move_backward,-0.02,0,alive,bridging
3,21,0.3672,46.0,1.4379,91.26,90.0,0,move_backward,-0.02,0,alive,bridging
3,22,0.5045,46.0,1.4435,100.26,90.0,0,turn_right,-0.02,0,alive,bridging
3,23,0.5856,46.0,1.4532,119.7,79.38,0,look_up,-0.02,0,alive,bridging
3,24,0.5856,46.0,1.4532,119.7,59.94,0,turn_right,-0.02,0,alive,bridging
3,25,0.5856,46.0,1.4532,139.14,59.94,0,look_up,-0.02,0,alive,bridging
3,26,0.5856,46.0,1.4532,139.14,59.94,0,move_forward,-0.02,0,alive,bridging
3,27,0.5694,46.0,1.4182,139.14,59.94,0,move_backward,-0.02,0,alive,bridging
3,28,0.524,46.0,1.4535,139.14,59.94,0,strafe_left,-0.02,0,alive,bridging
3,29,0.5204,46.0,1.4879,139.14,59.94,0,place_block,-0.02,0,alive,bridging
3,30,0.5204,46.0,1.4879,139.14,59.94,0,turn_right,-0.02,0,alive,bridging
3,31,0.5204,46.0,1.4879,139.14,59.94,0,move_backward,-0.02,0,alive,bridging
3,32,0.5423,46.0,1.5273,149.58,59.94,0,turn_right,0.0082,0,alive,bridging
3,33,0.5561,46.0,1.5613,176.58,59.94,0,turn_right,0.0102,0,alive,bridging
3,34,0.5561,46.0,1.5613,205.02,59.94,0,turn_right,0.0,0,alive,bridging
3,35,0.5561,46.0,1.5613,224.46,59.94,0,no_op,0.0,0,alive,bridging
3,36,0.5561,46.0,1.5613,224.46,68.94,0,look_down,0.0,0,alive,bridging
3,37,0.5561,46.0,1.5613,224.46,90.0,0,look_down,0.0,0,alive,bridging
3,38,0.5561,46.0,1.5613,224.46,90.0,0,move_backward,0.0,0,alive,bridging
3,39,0.5004,46.0,1.6222,224.46,90.0,0,look_up,0.0183,0,alive,bridging
3,40,0.4638,46.0,1.6594,224.46,90.0,0,place_block,0.0112,0,alive,bridging
3,41,0.4638,46.0,1.6594,224.46,90.0,0,sneak_up,-0.01,0,alive,bridging
3,42,0.4638,46.0,1.6594,224.46,90.0,0,place_block,-0.01,0,alive,bridging
3,43,0.4638,46.0,1.6594,224.46,90.0,0,place_block,-0.01,0,alive,bridging
3,44,0.4638,46.0,1.6594,224.46,90.0,0,sneak_down,0.0,0,alive,bridging
3,45,0.4638,46.0,1.6594,233.46,90.0,0,turn_right,0.0,0,alive,bridging
3,46,0.4439,46.0,1.6796,251.46,90.0,0,move_backward,0.006,0,alive,bridging
3,47,0.3685,46.0,1.7013,251.46,90.0,0,move_backward,0.0065,0,alive,bridging
3,48,0.2229,46.0,1.749,251.46,90.0,0,move_backward,0.0143,0,alive,bridging
3,49,0.0507,46.0,1.8065,251.46,90.0,0,move_backward,0.0173,0,alive,bridging
3,50,-0.1299,46.0,1.8671,251.46,90.0,0,move_backward,0.0182,0,alive,bridging
3,51,-0.3625,46.0,1.9451,251.46,90.0,0,sneak_up,0.0134,0,alive,bridging
3,52,-0.6028,45.5358,2.0257,251.46,81.0,0,look_up,1.0142,0,alive,bridging
3,53,-0.7581,44.4074,2.0778,260.46,63.0,0,turn_right,0.0056,0,alive,bridging
3,54,-0.8785,42.6537,2.1364,279.9,63.0,0,strafe_right,-5.0,1,fell,bridging
4,1,0.5,46.0,1.5,0.0,70.0,0,place_block,-0.01,0,alive,bridging
4,2,0.5,46.0,1.5,0.0,59.38,0,look_up,-0.01,0,alive,bridging
4,3,0.5,46.0,1.5,10.62,38.5,0,turn_right,-0.01,0,alive,bridging
4,4,0.5,46.0,1.5,31.5,38.5,0,strafe_left,-0.01,0,alive,bridging
4,5,0.7833,46.0,1.6736,31.5,28.06,0,look_up,0.0421,0,alive,bridging
4,6,0.8458,46.0,1.731,31.5,7.0,0,move_forward,0.0072,0,alive,bridging
4,7,0.7158,46.0,1.9642,31.5,7.0,0,place_block,0.06,0,alive,bridging
4,8,0.6028,46.0,2.152,31.5,7.0,0,sneak_down,1.0513,0,alive,bridging
4,9,0.5841,46.0,2.183,40.5,7.0,0,turn_right,0.0043,0,alive,bridging
4,10,0.5841,46.0,2.183,61.56,7.0,0,move_backward,-0.005,0,alive,bridging
4,11,0.6504,46.0,2.1544,61.56,17.26,0,look_down,-0.005,0,alive,bridging
4,12,0.6963,46.0,2.1296,72.18,36.7,0,turn_right,-0.005,0,alive,bridging
4,13,0.6963,46.0,2.1296,91.62,36.7,0,turn_right,-0.005,0,alive,bridging
4,14,0.6963,46.0,2.1296,91.62,26.44,0,look_up,-0.005,0,alive,bridging
4,15,0.6963,46.0,2.1296,91.62,7.0,0,move_backward,-0.005,0,alive,bridging
4,16,0.7986,46.0,2.1241,100.62,7.0,0,turn_right,-0.005,0,alive,bridging
4,17,0.8484,46.0,2.1314,121.68,7.0,0,move_backward,-0.005,0,alive,bridging
4,18,0.8928,46.0,2.1451,121.68,7.0,0,move_backward,-0.005,0,alive,bridging
4,19,1.0104,46.0,2.2104,121.68,7.0,0,place_block,0.0032,0,alive,bridging
4,20,1.0702,46.0,2.2467,121.68,7.0,0,sneak_down,0.0059,0,alive,bridging
4,21,1.0702,46.0,2.2467,121.68,7.0,0,sneak_up,-0.01,0,alive,bridging
4,22,1.0702,46.0,2.2467,132.12,7.0,0,turn_right,-0.01,0,alive,bridging
4,23,1.0702,46.0,2.2467,162.18,7.0,0,turn_right,-0.01,0,alive,bridging
4,24,1.0702,46.0,2.2467,190.62,7.0,0,turn_right,-0.01,0,alive,bridging
4,25,1.1664,46.0,2.2983,208.98,7.0,0,strafe_right,0.0055,0,alive,bridging
4,26,1.5418,45.7664,2.51,208.98,7.0,0,move_backward,0.0535,0,alive,bridging
